,id,scaledFeatures,prediction,distance_to_centroid,ISBN,rating
41691,25981,"[1.1961587768704838,2.59358452529814,1.8840808575336323,1.2584561731295607,0.004236844456182421,1.4480182019079955,-0.25358730794298107,0.7243339981723531,-1.173309113035826,-1.2414305917818682,0.7649583381424547,0.9523299172577588,-0.7625134992205329,-0.04964653730002359,-1.4078057275660618,-1.020879066130224,-0.14229070245766903,-0.6695545914260735,0.45751109767831116,-0.33439118254761263,-0.4408822946421638,-1.2144321230929616,-0.3253621038816829,-0.1561573804537077,-0.592242367915619,-0.31885067917009,0.13904546951027372,1.7631189473766955,1.1979814405120308,1.822954332140396,-2.2482964103856395,-1.9228739260897294,-0.3339029887045522,1.622426656168878,0.39452761429761124]",1,4.935038103095383,0553213423,5
41690,25981,"[1.1961587768704838,2.59358452529814,1.8840808575336323,1.2584561731295607,0.004236844456182421,1.4480182019079955,-0.25358730794298107,0.7243339981723531,-1.173309113035826,-1.2414305917818682,0.7649583381424547,0.9523299172577588,-0.7625134992205329,-0.04964653730002359,-1.4078057275660618,-1.020879066130224,-0.14229070245766903,-0.6695545914260735,0.45751109767831116,-0.33439118254761263,-0.4408822946421638,-1.2144321230929616,-0.3253621038816829,-0.1561573804537077,-0.592242367915619,-0.31885067917009,0.13904546951027372,1.7631189473766955,1.1979814405120308,1.822954332140396,-2.2482964103856395,-1.9228739260897294,-0.3339029887045522,1.622426656168878,0.39452761429761124]",1,4.935038103095383,0553157922,5
41689,25981,"[1.1961587768704838,2.59358452529814,1.8840808575336323,1.2584561731295607,0.004236844456182421,1.4480182019079955,-0.25358730794298107,0.7243339981723531,-1.173309113035826,-1.2414305917818682,0.7649583381424547,0.9523299172577588,-0.7625134992205329,-0.04964653730002359,-1.4078057275660618,-1.020879066130224,-0.14229070245766903,-0.6695545914260735,0.45751109767831116,-0.33439118254761263,-0.4408822946421638,-1.2144321230929616,-0.3253621038816829,-0.1561573804537077,-0.592242367915619,-0.31885067917009,0.13904546951027372,1.7631189473766955,1.1979814405120308,1.822954332140396,-2.2482964103856395,-1.9228739260897294,-0.3339029887045522,1.622426656168878,0.39452761429761124]",1,4.935038103095383,0531055744,5
41688,25981,"[1.1961587768704838,2.59358452529814,1.8840808575336323,1.2584561731295607,0.004236844456182421,1.4480182019079955,-0.25358730794298107,0.7243339981723531,-1.173309113035826,-1.2414305917818682,0.7649583381424547,0.9523299172577588,-0.7625134992205329,-0.04964653730002359,-1.4078057275660618,-1.020879066130224,-0.14229070245766903,-0.6695545914260735,0.45751109767831116,-0.33439118254761263,-0.4408822946421638,-1.2144321230929616,-0.3253621038816829,-0.1561573804537077,-0.592242367915619,-0.31885067917009,0.13904546951027372,1.7631189473766955,1.1979814405120308,1.822954332140396,-2.2482964103856395,-1.9228739260897294,-0.3339029887045522,1.622426656168878,0.39452761429761124]",1,4.935038103095383,0525946829,5
41687,25981,"[1.1961587768704838,2.59358452529814,1.8840808575336323,1.2584561731295607,0.004236844456182421,1.4480182019079955,-0.25358730794298107,0.7243339981723531,-1.173309113035826,-1.2414305917818682,0.7649583381424547,0.9523299172577588,-0.7625134992205329,-0.04964653730002359,-1.4078057275660618,-1.020879066130224,-0.14229070245766903,-0.6695545914260735,0.45751109767831116,-0.33439118254761263,-0.4408822946421638,-1.2144321230929616,-0.3253621038816829,-0.1561573804537077,-0.592242367915619,-0.31885067917009,0.13904546951027372,1.7631189473766955,1.1979814405120308,1.822954332140396,-2.2482964103856395,-1.9228739260897294,-0.3339029887045522,1.622426656168878,0.39452761429761124]",1,4.935038103095383,0525441603,5
41686,25981,"[1.1961587768704838,2.59358452529814,1.8840808575336323,1.2584561731295607,0.004236844456182421,1.4480182019079955,-0.25358730794298107,0.7243339981723531,-1.173309113035826,-1.2414305917818682,0.7649583381424547,0.9523299172577588,-0.7625134992205329,-0.04964653730002359,-1.4078057275660618,-1.020879066130224,-0.14229070245766903,-0.6695545914260735,0.45751109767831116,-0.33439118254761263,-0.4408822946421638,-1.2144321230929616,-0.3253621038816829,-0.1561573804537077,-0.592242367915619,-0.31885067917009,0.13904546951027372,1.7631189473766955,1.1979814405120308,1.822954332140396,-2.2482964103856395,-1.9228739260897294,-0.3339029887045522,1.622426656168878,0.39452761429761124]",1,4.935038103095383,0523418264,5
41685,25981,"[1.1961587768704838,2.59358452529814,1.8840808575336323,1.2584561731295607,0.004236844456182421,1.4480182019079955,-0.25358730794298107,0.7243339981723531,-1.173309113035826,-1.2414305917818682,0.7649583381424547,0.9523299172577588,-0.7625134992205329,-0.04964653730002359,-1.4078057275660618,-1.020879066130224,-0.14229070245766903,-0.6695545914260735,0.45751109767831116,-0.33439118254761263,-0.4408822946421638,-1.2144321230929616,-0.3253621038816829,-0.1561573804537077,-0.592242367915619,-0.31885067917009,0.13904546951027372,1.7631189473766955,1.1979814405120308,1.822954332140396,-2.2482964103856395,-1.9228739260897294,-0.3339029887045522,1.622426656168878,0.39452761429761124]",1,4.935038103095383,0517146487,5
41684,25981,"[1.1961587768704838,2.59358452529814,1.8840808575336323,1.2584561731295607,0.004236844456182421,1.4480182019079955,-0.25358730794298107,0.7243339981723531,-1.173309113035826,-1.2414305917818682,0.7649583381424547,0.9523299172577588,-0.7625134992205329,-0.04964653730002359,-1.4078057275660618,-1.020879066130224,-0.14229070245766903,-0.6695545914260735,0.45751109767831116,-0.33439118254761263,-0.4408822946421638,-1.2144321230929616,-0.3253621038816829,-0.1561573804537077,-0.592242367915619,-0.31885067917009,0.13904546951027372,1.7631189473766955,1.1979814405120308,1.822954332140396,-2.2482964103856395,-1.9228739260897294,-0.3339029887045522,1.622426656168878,0.39452761429761124]",1,4.935038103095383,0515133418,5
41702,25981,"[1.1961587768704838,2.59358452529814,1.8840808575336323,1.2584561731295607,0.004236844456182421,1.4480182019079955,-0.25358730794298107,0.7243339981723531,-1.173309113035826,-1.2414305917818682,0.7649583381424547,0.9523299172577588,-0.7625134992205329,-0.04964653730002359,-1.4078057275660618,-1.020879066130224,-0.14229070245766903,-0.6695545914260735,0.45751109767831116,-0.33439118254761263,-0.4408822946421638,-1.2144321230929616,-0.3253621038816829,-0.1561573804537077,-0.592242367915619,-0.31885067917009,0.13904546951027372,1.7631189473766955,1.1979814405120308,1.822954332140396,-2.2482964103856395,-1.9228739260897294,-0.3339029887045522,1.622426656168878,0.39452761429761124]",1,4.935038103095383,0553572326,5
41683,25981,"[1.1961587768704838,2.59358452529814,1.8840808575336323,1.2584561731295607,0.004236844456182421,1.4480182019079955,-0.25358730794298107,0.7243339981723531,-1.173309113035826,-1.2414305917818682,0.7649583381424547,0.9523299172577588,-0.7625134992205329,-0.04964653730002359,-1.4078057275660618,-1.020879066130224,-0.14229070245766903,-0.6695545914260735,0.45751109767831116,-0.33439118254761263,-0.4408822946421638,-1.2144321230929616,-0.3253621038816829,-0.1561573804537077,-0.592242367915619,-0.31885067917009,0.13904546951027372,1.7631189473766955,1.1979814405120308,1.822954332140396,-2.2482964103856395,-1.9228739260897294,-0.3339029887045522,1.622426656168878,0.39452761429761124]",1,4.935038103095383,0515132632,5
41703,25981,"[1.1961587768704838,2.59358452529814,1.8840808575336323,1.2584561731295607,0.004236844456182421,1.4480182019079955,-0.25358730794298107,0.7243339981723531,-1.173309113035826,-1.2414305917818682,0.7649583381424547,0.9523299172577588,-0.7625134992205329,-0.04964653730002359,-1.4078057275660618,-1.020879066130224,-0.14229070245766903,-0.6695545914260735,0.45751109767831116,-0.33439118254761263,-0.4408822946421638,-1.2144321230929616,-0.3253621038816829,-0.1561573804537077,-0.592242367915619,-0.31885067917009,0.13904546951027372,1.7631189473766955,1.1979814405120308,1.822954332140396,-2.2482964103856395,-1.9228739260897294,-0.3339029887045522,1.622426656168878,0.39452761429761124]",1,4.935038103095383,0553583360,5
41705,25981,"[1.1961587768704838,2.59358452529814,1.8840808575336323,1.2584561731295607,0.004236844456182421,1.4480182019079955,-0.25358730794298107,0.7243339981723531,-1.173309113035826,-1.2414305917818682,0.7649583381424547,0.9523299172577588,-0.7625134992205329,-0.04964653730002359,-1.4078057275660618,-1.020879066130224,-0.14229070245766903,-0.6695545914260735,0.45751109767831116,-0.33439118254761263,-0.4408822946421638,-1.2144321230929616,-0.3253621038816829,-0.1561573804537077,-0.592242367915619,-0.31885067917009,0.13904546951027372,1.7631189473766955,1.1979814405120308,1.822954332140396,-2.2482964103856395,-1.9228739260897294,-0.3339029887045522,1.622426656168878,0.39452761429761124]",1,4.935038103095383,0553802461,5
41722,25981,"[1.1961587768704838,2.59358452529814,1.8840808575336323,1.2584561731295607,0.004236844456182421,1.4480182019079955,-0.25358730794298107,0.7243339981723531,-1.173309113035826,-1.2414305917818682,0.7649583381424547,0.9523299172577588,-0.7625134992205329,-0.04964653730002359,-1.4078057275660618,-1.020879066130224,-0.14229070245766903,-0.6695545914260735,0.45751109767831116,-0.33439118254761263,-0.4408822946421638,-1.2144321230929616,-0.3253621038816829,-0.1561573804537077,-0.592242367915619,-0.31885067917009,0.13904546951027372,1.7631189473766955,1.1979814405120308,1.822954332140396,-2.2482964103856395,-1.9228739260897294,-0.3339029887045522,1.622426656168878,0.39452761429761124]",1,4.935038103095383,0671735691,5
41721,25981,"[1.1961587768704838,2.59358452529814,1.8840808575336323,1.2584561731295607,0.004236844456182421,1.4480182019079955,-0.25358730794298107,0.7243339981723531,-1.173309113035826,-1.2414305917818682,0.7649583381424547,0.9523299172577588,-0.7625134992205329,-0.04964653730002359,-1.4078057275660618,-1.020879066130224,-0.14229070245766903,-0.6695545914260735,0.45751109767831116,-0.33439118254761263,-0.4408822946421638,-1.2144321230929616,-0.3253621038816829,-0.1561573804537077,-0.592242367915619,-0.31885067917009,0.13904546951027372,1.7631189473766955,1.1979814405120308,1.822954332140396,-2.2482964103856395,-1.9228739260897294,-0.3339029887045522,1.622426656168878,0.39452761429761124]",1,4.935038103095383,0671673513,5
41720,25981,"[1.1961587768704838,2.59358452529814,1.8840808575336323,1.2584561731295607,0.004236844456182421,1.4480182019079955,-0.25358730794298107,0.7243339981723531,-1.173309113035826,-1.2414305917818682,0.7649583381424547,0.9523299172577588,-0.7625134992205329,-0.04964653730002359,-1.4078057275660618,-1.020879066130224,-0.14229070245766903,-0.6695545914260735,0.45751109767831116,-0.33439118254761263,-0.4408822946421638,-1.2144321230929616,-0.3253621038816829,-0.1561573804537077,-0.592242367915619,-0.31885067917009,0.13904546951027372,1.7631189473766955,1.1979814405120308,1.822954332140396,-2.2482964103856395,-1.9228739260897294,-0.3339029887045522,1.622426656168878,0.39452761429761124]",1,4.935038103095383,0671670689,5
41719,25981,"[1.1961587768704838,2.59358452529814,1.8840808575336323,1.2584561731295607,0.004236844456182421,1.4480182019079955,-0.25358730794298107,0.7243339981723531,-1.173309113035826,-1.2414305917818682,0.7649583381424547,0.9523299172577588,-0.7625134992205329,-0.04964653730002359,-1.4078057275660618,-1.020879066130224,-0.14229070245766903,-0.6695545914260735,0.45751109767831116,-0.33439118254761263,-0.4408822946421638,-1.2144321230929616,-0.3253621038816829,-0.1561573804537077,-0.592242367915619,-0.31885067917009,0.13904546951027372,1.7631189473766955,1.1979814405120308,1.822954332140396,-2.2482964103856395,-1.9228739260897294,-0.3339029887045522,1.622426656168878,0.39452761429761124]",1,4.935038103095383,0671663585,5
41718,25981,"[1.1961587768704838,2.59358452529814,1.8840808575336323,1.2584561731295607,0.004236844456182421,1.4480182019079955,-0.25358730794298107,0.7243339981723531,-1.173309113035826,-1.2414305917818682,0.7649583381424547,0.9523299172577588,-0.7625134992205329,-0.04964653730002359,-1.4078057275660618,-1.020879066130224,-0.14229070245766903,-0.6695545914260735,0.45751109767831116,-0.33439118254761263,-0.4408822946421638,-1.2144321230929616,-0.3253621038816829,-0.1561573804537077,-0.592242367915619,-0.31885067917009,0.13904546951027372,1.7631189473766955,1.1979814405120308,1.822954332140396,-2.2482964103856395,-1.9228739260897294,-0.3339029887045522,1.622426656168878,0.39452761429761124]",1,4.935038103095383,0671551310,5
41717,25981,"[1.1961587768704838,2.59358452529814,1.8840808575336323,1.2584561731295607,0.004236844456182421,1.4480182019079955,-0.25358730794298107,0.7243339981723531,-1.173309113035826,-1.2414305917818682,0.7649583381424547,0.9523299172577588,-0.7625134992205329,-0.04964653730002359,-1.4078057275660618,-1.020879066130224,-0.14229070245766903,-0.6695545914260735,0.45751109767831116,-0.33439118254761263,-0.4408822946421638,-1.2144321230929616,-0.3253621038816829,-0.1561573804537077,-0.592242367915619,-0.31885067917009,0.13904546951027372,1.7631189473766955,1.1979814405120308,1.822954332140396,-2.2482964103856395,-1.9228739260897294,-0.3339029887045522,1.622426656168878,0.39452761429761124]",1,4.935038103095383,0671525425,5
41716,25981,"[1.1961587768704838,2.59358452529814,1.8840808575336323,1.2584561731295607,0.004236844456182421,1.4480182019079955,-0.25358730794298107,0.7243339981723531,-1.173309113035826,-1.2414305917818682,0.7649583381424547,0.9523299172577588,-0.7625134992205329,-0.04964653730002359,-1.4078057275660618,-1.020879066130224,-0.14229070245766903,-0.6695545914260735,0.45751109767831116,-0.33439118254761263,-0.4408822946421638,-1.2144321230929616,-0.3253621038816829,-0.1561573804537077,-0.592242367915619,-0.31885067917009,0.13904546951027372,1.7631189473766955,1.1979814405120308,1.822954332140396,-2.2482964103856395,-1.9228739260897294,-0.3339029887045522,1.622426656168878,0.39452761429761124]",1,4.935038103095383,0671432672,10
41715,25981,"[1.1961587768704838,2.59358452529814,1.8840808575336323,1.2584561731295607,0.004236844456182421,1.4480182019079955,-0.25358730794298107,0.7243339981723531,-1.173309113035826,-1.2414305917818682,0.7649583381424547,0.9523299172577588,-0.7625134992205329,-0.04964653730002359,-1.4078057275660618,-1.020879066130224,-0.14229070245766903,-0.6695545914260735,0.45751109767831116,-0.33439118254761263,-0.4408822946421638,-1.2144321230929616,-0.3253621038816829,-0.1561573804537077,-0.592242367915619,-0.31885067917009,0.13904546951027372,1.7631189473766955,1.1979814405120308,1.822954332140396,-2.2482964103856395,-1.9228739260897294,-0.3339029887045522,1.622426656168878,0.39452761429761124]",1,4.935038103095383,0671034413,5
41714,25981,"[1.1961587768704838,2.59358452529814,1.8840808575336323,1.2584561731295607,0.004236844456182421,1.4480182019079955,-0.25358730794298107,0.7243339981723531,-1.173309113035826,-1.2414305917818682,0.7649583381424547,0.9523299172577588,-0.7625134992205329,-0.04964653730002359,-1.4078057275660618,-1.020879066130224,-0.14229070245766903,-0.6695545914260735,0.45751109767831116,-0.33439118254761263,-0.4408822946421638,-1.2144321230929616,-0.3253621038816829,-0.1561573804537077,-0.592242367915619,-0.31885067917009,0.13904546951027372,1.7631189473766955,1.1979814405120308,1.822954332140396,-2.2482964103856395,-1.9228739260897294,-0.3339029887045522,1.622426656168878,0.39452761429761124]",1,4.935038103095383,0671023004,5
41713,25981,"[1.1961587768704838,2.59358452529814,1.8840808575336323,1.2584561731295607,0.004236844456182421,1.4480182019079955,-0.25358730794298107,0.7243339981723531,-1.173309113035826,-1.2414305917818682,0.7649583381424547,0.9523299172577588,-0.7625134992205329,-0.04964653730002359,-1.4078057275660618,-1.020879066130224,-0.14229070245766903,-0.6695545914260735,0.45751109767831116,-0.33439118254761263,-0.4408822946421638,-1.2144321230929616,-0.3253621038816829,-0.1561573804537077,-0.592242367915619,-0.31885067917009,0.13904546951027372,1.7631189473766955,1.1979814405120308,1.822954332140396,-2.2482964103856395,-1.9228739260897294,-0.3339029887045522,1.622426656168878,0.39452761429761124]",1,4.935038103095383,0671021192,5
41712,25981,"[1.1961587768704838,2.59358452529814,1.8840808575336323,1.2584561731295607,0.004236844456182421,1.4480182019079955,-0.25358730794298107,0.7243339981723531,-1.173309113035826,-1.2414305917818682,0.7649583381424547,0.9523299172577588,-0.7625134992205329,-0.04964653730002359,-1.4078057275660618,-1.020879066130224,-0.14229070245766903,-0.6695545914260735,0.45751109767831116,-0.33439118254761263,-0.4408822946421638,-1.2144321230929616,-0.3253621038816829,-0.1561573804537077,-0.592242367915619,-0.31885067917009,0.13904546951027372,1.7631189473766955,1.1979814405120308,1.822954332140396,-2.2482964103856395,-1.9228739260897294,-0.3339029887045522,1.622426656168878,0.39452761429761124]",1,4.935038103095383,067101420X,5
41711,25981,"[1.1961587768704838,2.59358452529814,1.8840808575336323,1.2584561731295607,0.004236844456182421,1.4480182019079955,-0.25358730794298107,0.7243339981723531,-1.173309113035826,-1.2414305917818682,0.7649583381424547,0.9523299172577588,-0.7625134992205329,-0.04964653730002359,-1.4078057275660618,-1.020879066130224,-0.14229070245766903,-0.6695545914260735,0.45751109767831116,-0.33439118254761263,-0.4408822946421638,-1.2144321230929616,-0.3253621038816829,-0.1561573804537077,-0.592242367915619,-0.31885067917009,0.13904546951027372,1.7631189473766955,1.1979814405120308,1.822954332140396,-2.2482964103856395,-1.9228739260897294,-0.3339029887045522,1.622426656168878,0.39452761429761124]",1,4.935038103095383,0670844527,10
41710,25981,"[1.1961587768704838,2.59358452529814,1.8840808575336323,1.2584561731295607,0.004236844456182421,1.4480182019079955,-0.25358730794298107,0.7243339981723531,-1.173309113035826,-1.2414305917818682,0.7649583381424547,0.9523299172577588,-0.7625134992205329,-0.04964653730002359,-1.4078057275660618,-1.020879066130224,-0.14229070245766903,-0.6695545914260735,0.45751109767831116,-0.33439118254761263,-0.4408822946421638,-1.2144321230929616,-0.3253621038816829,-0.1561573804537077,-0.592242367915619,-0.31885067917009,0.13904546951027372,1.7631189473766955,1.1979814405120308,1.822954332140396,-2.2482964103856395,-1.9228739260897294,-0.3339029887045522,1.622426656168878,0.39452761429761124]",1,4.935038103095383,0670825921,5
41709,25981,"[1.1961587768704838,2.59358452529814,1.8840808575336323,1.2584561731295607,0.004236844456182421,1.4480182019079955,-0.25358730794298107,0.7243339981723531,-1.173309113035826,-1.2414305917818682,0.7649583381424547,0.9523299172577588,-0.7625134992205329,-0.04964653730002359,-1.4078057275660618,-1.020879066130224,-0.14229070245766903,-0.6695545914260735,0.45751109767831116,-0.33439118254761263,-0.4408822946421638,-1.2144321230929616,-0.3253621038816829,-0.1561573804537077,-0.592242367915619,-0.31885067917009,0.13904546951027372,1.7631189473766955,1.1979814405120308,1.822954332140396,-2.2482964103856395,-1.9228739260897294,-0.3339029887045522,1.622426656168878,0.39452761429761124]",1,4.935038103095383,0590604031,5
41708,25981,"[1.1961587768704838,2.59358452529814,1.8840808575336323,1.2584561731295607,0.004236844456182421,1.4480182019079955,-0.25358730794298107,0.7243339981723531,-1.173309113035826,-1.2414305917818682,0.7649583381424547,0.9523299172577588,-0.7625134992205329,-0.04964653730002359,-1.4078057275660618,-1.020879066130224,-0.14229070245766903,-0.6695545914260735,0.45751109767831116,-0.33439118254761263,-0.4408822946421638,-1.2144321230929616,-0.3253621038816829,-0.1561573804537077,-0.592242367915619,-0.31885067917009,0.13904546951027372,1.7631189473766955,1.1979814405120308,1.822954332140396,-2.2482964103856395,-1.9228739260897294,-0.3339029887045522,1.622426656168878,0.39452761429761124]",1,4.935038103095383,059056871X,5
41707,25981,"[1.1961587768704838,2.59358452529814,1.8840808575336323,1.2584561731295607,0.004236844456182421,1.4480182019079955,-0.25358730794298107,0.7243339981723531,-1.173309113035826,-1.2414305917818682,0.7649583381424547,0.9523299172577588,-0.7625134992205329,-0.04964653730002359,-1.4078057275660618,-1.020879066130224,-0.14229070245766903,-0.6695545914260735,0.45751109767831116,-0.33439118254761263,-0.4408822946421638,-1.2144321230929616,-0.3253621038816829,-0.1561573804537077,-0.592242367915619,-0.31885067917009,0.13904546951027372,1.7631189473766955,1.1979814405120308,1.822954332140396,-2.2482964103856395,-1.9228739260897294,-0.3339029887045522,1.622426656168878,0.39452761429761124]",1,4.935038103095383,0590426966,5
41706,25981,"[1.1961587768704838,2.59358452529814,1.8840808575336323,1.2584561731295607,0.004236844456182421,1.4480182019079955,-0.25358730794298107,0.7243339981723531,-1.173309113035826,-1.2414305917818682,0.7649583381424547,0.9523299172577588,-0.7625134992205329,-0.04964653730002359,-1.4078057275660618,-1.020879066130224,-0.14229070245766903,-0.6695545914260735,0.45751109767831116,-0.33439118254761263,-0.4408822946421638,-1.2144321230929616,-0.3253621038816829,-0.1561573804537077,-0.592242367915619,-0.31885067917009,0.13904546951027372,1.7631189473766955,1.1979814405120308,1.822954332140396,-2.2482964103856395,-1.9228739260897294,-0.3339029887045522,1.622426656168878,0.39452761429761124]",1,4.935038103095383,0590415883,5
